train_loss,valid_loss
1.0621519769941057,0.8402886092662811
0.9831002695219857,0.7640826404094696
0.9555051156452724,0.7278524339199066
0.875708886555263,0.6751813292503357
0.84927351134164,0.6778380870819092
0.8293130312647138,0.6282688677310944
0.7660503813198635,0.6226376295089722
0.7479037131581988,0.6154942512512207
0.7307566148894173,0.5984969437122345
0.7180790134838649,0.6092412173748016
0.7190400787762233,0.5997849702835083
0.7225745490619114,0.5970684885978699
0.7250388264656067,0.5918283462524414
0.69220917565482,0.6069070994853973
0.6497460518564496,0.6134182810783386
0.6535259910992214,0.5991344451904297
0.630805219922747,0.5777561366558075
0.6141957896096366,0.5970318913459778
0.6050196290016174,0.5881902873516083
0.5733580461570195,0.5950766503810883
0.5724122950008937,0.5798192918300629
0.5637963669640678,0.5837245583534241
0.560982380594526,0.5920768678188324
0.5531662021364484,0.5840336382389069
0.5569190680980682,0.603691577911377
0.5589913725852966,0.5842768549919128
0.5444204892430987,0.6005081236362457
0.5405641666480473,0.5978833138942719
0.5265443325042725,0.595707505941391
0.5543168783187866,0.5936973392963409
0.5223678009850639,0.5921334028244019
0.5251008357320514,0.5962564051151276
0.5158936551639012,0.5959257781505585
0.5242181760924203,0.6045150756835938
0.5169748791626522,0.5967749059200287
0.5097560456820897,0.6075971126556396
0.5150072532040733,0.5958180725574493
0.514453479221889,0.6112542450428009
0.4943951283182417,0.5953512787818909
0.5017854017870766,0.6169191896915436
0.4869364755494254,0.612535834312439
0.490878232887813,0.5991194844245911
0.4859938749245235,0.619634747505188
0.4767375460692814,0.60899218916893
0.48072405798094614,0.6190897226333618
0.47578284570149015,0.6164835095405579
0.47296593870435444,0.6052976250648499
0.4757582332406725,0.6034940183162689
0.47941087399210247,0.6145444810390472
0.4748974229608263,0.627159982919693
0.4601747308458601,0.5897194445133209
0.45376125403812956,0.6086023151874542
0.46153558577810017,0.5959044098854065
0.4554065636226109,0.6139522194862366
0.4563597994191306,0.6300438642501831
0.4560480032648359,0.6167324185371399
0.44209754892757963,0.6262252628803253
0.4404988203729902,0.6377560794353485
0.4357424718993051,0.6144943237304688
0.4371545570237296,0.5982135534286499
0.43829377208437237,0.6163611710071564
0.4308462994439261,0.6166242063045502
0.4415780348437173,0.6173862516880035
0.4223173303263528,0.610944926738739
0.43589251382010324,0.6152373552322388
0.4294171418462481,0.6465711891651154
0.43891132729394094,0.6402954161167145
0.42150359068598064,0.6310177445411682
0.41618734172412325,0.6258683502674103
0.4136484478201185,0.627243310213089
0.41234205876077923,0.6316041648387909
0.4198345584528787,0.6497246026992798
0.405670485326222,0.6259254515171051
0.4082583487033844,0.6346462666988373
0.4141549893787929,0.6361045837402344
0.40844891326768057,0.6315222978591919
0.40113408650670734,0.6310654282569885
0.40659876806395395,0.6237809062004089
0.40343315260750906,0.6507609784603119
0.4033325357096536,0.6429513096809387
0.400998728615897,0.6405788362026215
0.40033407296453205,0.6464031338691711
0.39915287494659424,0.6449683010578156
0.4148845970630646,0.673265665769577
0.40521434800965445,0.6593789160251617
0.38966281924928936,0.6520901918411255
0.39316382152693613,0.6300131380558014
0.3984197974205017,0.6610691249370575
0.3886502129690988,0.6468022167682648
0.38997879198619295,0.6685857772827148
0.38705665724618094,0.647973895072937
0.3800560363701412,0.6470820605754852
0.393617251089641,0.6781783401966095
0.3856937289237976,0.6484984755516052
0.37538170388766695,0.6632658243179321
0.3782657725470407,0.6648946702480316
0.3755420020648411,0.6605058312416077
0.381517618894577,0.6661466956138611
0.3708745241165161,0.654362678527832
0.37805735639163424,0.6832088232040405
